case_id,detective_name,rank,season,episode,crime_type,borough,case_status,arrests_made,cases_solved,hours_worked,annual_salary_usd,perpetrator_age,nine_nine_quote,date_clean
99-0277,"Michael Hitchcock",Detective,4,S04E15,ROBBERY,BROOKLYN,"UNDER INVESTIGATION",49,47,54.5,84174,55,Bingpot!,2015-09-28
99-0279,NULL,Detective,5,S05E21,MURDER,"STATEN  ISLAND",OPEN,47,70,79.6,64655,65,,2013-12-19
99-0281,"Terry Jeffords",Sergeant,8,S08E17,VANDALISM,MANHATTAN,CLOSED,19,50,53.6,107741,50,,2021-05-07
99-0284,"Rosa Diaz",Detective,7,S07E16,BURGLARY,MANHATTAN,"COLD CASE",46,16,25.7,72265,39,"I want to go to there",2013-03-28
99-0286,"Terry Jeffords",Sergeant,6,S06E06,ARSON,QUEENS,"UNDER INVESTIGATION",15,82,61.4,57737,34,,NULL
99-0287,"Raymond Holt",Captain,3,S03E15,FRAUD,QUEENS,"UNDER INVESTIGATION",46,42,29.3,74965,63,"Get that bread",2021-02-15
99-0289,"Gina Linetti",Administrator,3,S03E16,ROBBERY,BRONX,CLOSED,29,69,74.9,99167,40,,2017-12-11
99-0292,"Rosa Diaz",Detective,1,S01E21,FRAUD,BROOKLYN,DISMISSED,3,80,51.8,NULL,71,,2018-05-26
99-0295,"Terry Jeffords",Sergeant,3,S03E07,VANDALISM,QUEENS,"COLD CASE",23,15,28.1,118084,53,,2016-06-05
99-0296,"Charles Boyle",Detective,5,S05E07,ASSAULT,MANHATTAN,CLOSED,49,38,29.1,104602,28,Nine-Nine!,2017-08-27
99-0297,"Terry Jeffords",Sergeant,2,S02E02,MURDER,BRONX,CLOSED,45,55,46.7,66441,35,,2014-11-07
99-0298,"Michael Hitchcock",Detective,6,S06E13,ASSAULT,"STATEN  ISLAND",CLOSED,24,30,76.6,114130,61,,2016-01-29
99-0300,"Terry Jeffords",Sergeant,5,S05E09,"DRUG POSSESSION",MANHATTAN,CLOSED,30,85,53,62727,59,Nine-Nine!,2019-07-05
99-0301,"Gina Linetti",Administrator,1,S01E02,"GRAND LARCENY",MANHATTAN,"IN PROGRESS",15,73,28.4,103130,52,,2019-12-29
99-0302,"Raymond Holt",Captain,1,S01E09,BURGLARY,"STATEN  ISLAND",OPEN,25,16,55.2,108269,56,,2015-07-10
99-0304,"Jake Peralta",Detective,1,S01E12,BURGLARY,"STATEN  ISLAND",OPEN,12,21,65.1,100783,59,,2019-10-04
99-0305,NULL,Detective,2,S02E10,VANDALISM,"STATEN  ISLAND","COLD CASE",33,29,52.5,NULL,18,"I want to go to there",2018-06-22
99-0306,"Jake Peralta",Detective,8,S08E08,VANDALISM,BROOKLYN,CLOSED,4,1,26.1,118252,47,"I am a human person",2019-11-11
99-0307,"Raymond Holt",Captain,1,S01E14,VANDALISM,QUEENS,DISMISSED,18,47,23,97504,39,,2017-04-23
99-0308,"Gina Linetti",Administrator,8,S08E14,FRAUD,BROOKLYN,"IN PROGRESS",4,31,70,55420,15,,2013-07-14
99-0309,NULL,Detective,1,S01E18,ASSAULT,BRONX,DISMISSED,20,92,69.4,NULL,73,,2013-02-17
99-0310,"Michael Hitchcock",Captain,6,S06E02,BURGLARY,"STATEN  ISLAND","IN PROGRESS",1,35,56.7,88758,65,,NULL
99-0311,"Terry Jeffords",Sergeant,8,S08E06,ARSON,"STATEN  ISLAND","IN PROGRESS",49,63,43.1,0,74,,2016-11-24
99-0313,"Norm Scully",Detective,6,S06E20,ASSAULT,MANHATTAN,CLOSED,3,45,35.7,105346,29,"I am a human person",2016-02-10
99-0315,"Terry Jeffords",Sergeant,3,S03E18,"GRAND LARCENY",QUEENS,OPEN,31,65,76.8,72722,64,,2016-04-26
99-0318,"Norm Scully",Detective,5,S05E20,VANDALISM,MANHATTAN,DISMISSED,47,69,71.5,0,42,,2020-04-05
99-0319,"Raymond Holt",Captain,7,S07E18,ROBBERY,BRONX,"UNDER INVESTIGATION",12,27,70.8,NULL,65,,2020-09-12
99-0320,NULL,NULL,6,S06E02,MURDER,BROOKLYN,OPEN,38,36,55.4,71194,61,,2013-07-05
99-0323,"Rosa Diaz",Detective,4,S04E04,FRAUD,"STATEN  ISLAND",CLOSED,2,5,23.7,86139,75,,2020-07-21
99-0324,"Norm Scully",Detective,8,S08E21,"GRAND LARCENY",QUEENS,DISMISSED,6,10,71.1,72969,38,,2014-07-22
99-0325,"Charles Boyle",Detective,8,S08E16,ARSON,BRONX,DISMISSED,43,38,41,NULL,71,,2016-08-25
99-0326,"Raymond Holt",Captain,7,S07E13,ASSAULT,"STATEN  ISLAND",ONGOING,39,6,58.8,NULL,16,,2019-05-21
99-0327,NULL,Detective,5,S05E22,VANDALISM,MANHATTAN,DISMISSED,12,63,71.6,97340,47,,NULL
99-0328,"Norm Scully",Detective,3,S03E16,"DRUG POSSESSION",QUEENS,"UNDER INVESTIGATION",7,71,54,65454,58,,2020-01-18
99-0330,"Jake Peralta",Detective,6,S06E20,STALKING,MANHATTAN,"COLD CASE",36,22,74,NULL,41,,NULL
99-0331,"Rosa Diaz",Detective,4,S04E17,"DRUG POSESSION","STATEN  ISLAND","COLD CASE",17,90,31.3,0,20,,2018-06-14
99-0332,NULL,NULL,8,S08E01,ROBBERY,"STATEN  ISLAND","IN PROGRESS",23,5,39.5,0,19,,2013-06-28
99-0334,"Terry Jeffords",Sergeant,3,S03E12,BURGLERY,QUEENS,OPEN,26,62,41.6,99873,36,,2014-10-19
99-0335,NULL,NULL,5,S05E04,FRAUD,BROOKLYN,ONGOING,7,27,63.7,NULL,31,,2020-03-08
99-0336,"Michael Hitchcock",Detective,3,S03E07,FRAUD,BROOKLYN,DISMISSED,38,33,65.1,NULL,24,Noice,2021-12-06
99-0337,"Rosa Diaz",Detective,1,S01E02,FRAUD,"STATEN  ISLAND",OPEN,23,18,23.5,116604,42,,2015-05-03
99-0340,NULL,Detective,3,S03E03,STALKING,"STATEN  ISLAND",DISMISSED,48,45,36.6,NULL,40,,2014-11-25
99-0341,"Gina Linetti",Administrator,2,S02E02,BURGLARY,QUEENS,"COLD CASE",32,51,46.6,66654,58,,2013-09-12
99-0342,NULL,Detective,3,S03E05,VANDALISM,"STATEN  ISLAND",ONGOING,40,60,36,69737,18,,2018-12-31
99-0346,NULL,Detective,8,S08E05,ROBERRY,"STATEN  ISLAND","COLD CASE",7,55,22.6,111453,38,,2020-06-30
99-0348,"Terry Jeffords",Sergeant,2,S02E07,BURGLARY,BRONX,CLOSED,34,56,59.9,88941,48,,2018-12-03
99-0349,"Michael Hitchcock",Sergeant,5,S05E10,ROBBERY,"STATEN  ISLAND",DISMISSED,34,61,23.3,81484,58,,2021-02-28
99-0351,"Jake Peralta",Detective,4,S04E04,MURDER,BRONX,DISMISSED,28,75,54.3,NULL,29,Nine-Nine!,2016-09-13
99-0352,"Amy Santiago",Detective,8,S08E08,FRAUD,BRONX,DISMISSED,7,99,28.9,0,24,,2016-11-26
99-0353,"Rosa Diaz",Detective,8,S08E08,"DRUG POSSESSION",MANHATTAN,OPEN,11,27,43.9,NULL,40,Nine-Nine!,2013-02-07
99-0354,"Norm Scully",Detective,7,S07E08,ROBBERY,QUEENS,DISMISSED,39,58,68.4,68208,18,"I am a human person",2015-08-22
99-0356,"Gina Linetti",Administrator,2,S02E03,STALKING,"STATEN  ISLAND",OPEN,1,23,35.4,115367,58,,2019-06-26
99-0360,"Rosa Diaz",Detective,2,S02E11,"GRAND LARCENY",BROOKLYN,"UNDER INVESTIGATION",7,24,69.7,119472,32,"Halloween Heist Champion",2020-08-04
99-0362,"Rosa Diaz",Detective,4,S04E09,MURDER,BROOKLYN,CLOSED,41,22,22.6,NULL,45,,2016-06-10
99-0363,NULL,Detective,6,S06E12,"GRAND LARCENY",MANHATTAN,DISMISSED,27,52,42.6,59382,39,,2019-07-29
99-0364,"Raymond Holt",Captain,3,S03E04,"GRAND LARCENY",MANHATTAN,OPEN,5,39,40.9,NULL,46,"The squad has arrived",2017-09-01
99-0365,"Raymond Holt",Captain,7,S07E23,ARSON,"STATEN  ISLAND","UNDER INVESTIGATION",40,76,22.8,0,18,,2019-05-26
99-0366,"Jake Peralta",Detective,5,S05E22,ASSAULT,BROOKLYN,"IN PROGRESS",40,55,71.9,117652,60,,2017-01-31
99-0367,"Norm Scully",Detective,5,S05E22,ROBBERY,BROOKLYN,"UNDER INVESTIGATION",26,87,51.4,115448,59,,2019-12-17
99-0368,"Terry Jeffords",Sergeant,2,S02E19,BURGLARY,"STATEN  ISLAND",DISMISSED,28,61,52.4,102093,33,Nine-Nine!,2014-06-26
99-0369,"Norm Scully",Detective,6,S06E10,"DRUG  POSSESSION",BRONX,DISMISSED,34,36,31.8,61254,54,,2016-01-10
99-0370,"Gina Linetti",Administrator,7,S07E09,"DRUG  POSSESSION",BROOKLYN,"UNDER INVESTIGATION",35,49,60.4,NULL,27,,2016-02-20
99-0371,"Gina Linetti",Administrator,3,S03E14,ARSON,MANHATTAN,"UNDER INVESTIGATION",17,36,72.8,61384,66,,2014-06-30
99-0373,"Rosa Diaz",Detective,1,S01E08,STALKING,QUEENS,DISMISSED,19,24,34,82348,66,"Halloween Heist Champion",2019-03-31
99-0376,"Michael Hitchcock",Detective,8,S08E01,ASSAULT,MANHATTAN,CLOSED,40,13,69.8,0,65,,2020-06-17
99-0377,"Amy Santiago",Detective,1,S01E05,BURGLARY,MANHATTAN,"UNDER INVESTIGATION",38,74,57.9,NULL,56,Nine-Nine!,2019-02-17
99-0378,"Amy Santiago",Detective,4,S04E04,STALKING,"STATEN  ISLAND",CLOSED,46,27,68.5,NULL,68,,2017-10-17
99-0379,"Charles Boyle",Detective,6,S06E13,STALKING,BROOKLYN,"UNDER INVESTIGATION",6,8,40.8,116153,57,,2013-03-23
99-0380,"Raymond Holt",Captain,2,S02E18,"DRUG  POSSESSION",BROOKLYN,DISMISSED,37,49,23.2,57581,30,,2016-03-04
99-0381,NULL,Detective,3,S03E15,ROBBERY,QUEENS,CLOSED,0,93,59.8,80585,15,,2019-04-18
99-0384,"Michael Hitchcock",Detective,2,S02E06,VANDALISM,"STATEN  ISLAND","COLD CASE",2,66,76.7,105315,43,,2015-07-12
99-0385,"Amy Santiago",Detective,7,S07E02,BURGLARY,BRONX,"IN PROGRESS",15,44,25.2,64989,37,,2019-08-03
99-0386,"Amy Santiago",Detective,5,S05E20,BURGLERY,MANHATTAN,ONGOING,42,58,68.6,113645,23,,2020-12-01
99-0387,"Jake Peralta",Detective,2,S02E19,MURDER,BRONX,CLOSED,14,85,41.5,95178,31,"Cool cool cool cool cool",2015-03-02
99-0388,"Terry Jeffords",Sergeant,1,S01E02,ARSON,MANHATTAN,"COLD CASE",23,72,60.9,62534,47,"I am a human person",2021-09-24
99-0389,"Rosa Diaz",Detective,3,S03E07,BURGLARY,BROOKLYN,"COLD CASE",22,43,61.4,76944,60,"I am a human person",2014-04-28
99-0390,"Terry Jeffords",Sergeant,1,S01E10,"DRUG  POSSESSION",QUEENS,CLOSED,2,46,24.6,82896,73,,2013-01-12
99-0391,"Terry Jeffords",Sergeant,3,S03E18,MURDER,MANHATTAN,OPEN,32,57,62.5,NULL,45,,2020-04-05
99-0392,"Norm Scully",Detective,5,S05E14,"GRAND LARCENY",MANHATTAN,CLOSED,41,41,24.4,87652,28,,2013-05-26
99-0395,"Gina Linetti",Administrator,8,S08E02,"GRAND LARCENY",QUEENS,DISMISSED,30,100,72.8,79613,16,"Halloween Heist Champion",2014-08-30
99-0396,NULL,Detective,2,S02E12,STALKING,BRONX,DISMISSED,28,10,46.3,80169,15,,2020-01-14
99-0397,"Michael Hitchcock",Detective,1,S01E19,BURGLARY,BRONX,ONGOING,18,70,36.3,85225,22,Nine-Nine!,2015-03-09
99-0398,"Rosa Diaz",Detective,7,S07E09,"DRUG POSSESSION",BROOKLYN,OPEN,50,51,47.9,0,57,Noice,2019-05-23
99-0399,"Jake Peralta",Detective,2,S02E07,BURGLARY,"STATEN  ISLAND",DISMISSED,44,76,48.1,99717,43,,2015-12-08
99-0400,"Amy Santiago",Detective,5,S05E17,VANDALISM,BROOKLYN,"UNDER INVESTIGATION",50,22,43.5,117052,42,,2019-03-22
99-0401,"Gina Linetti",Administrator,4,S04E08,FRAUD,QUEENS,OPEN,2,85,44.5,98061,68,"Title of your sex tape",2013-12-30
99-0405,"Jake Peralta",Detective,7,S07E14,ASSAULT,BROOKLYN,OPEN,32,81,68.2,79593,27,,2013-09-11
99-0406,NULL,Detective,2,S02E06,ROBBERY,QUEENS,OPEN,37,65,63,108304,55,,2016-08-08
99-0408,"Rosa Diaz",Detective,3,S03E16,STALKING,BRONX,OPEN,42,37,20.6,84750,39,,2013-01-03
99-0409,"Norm Scully",Detective,1,S01E07,ARSON,BRONX,DISMISSED,23,61,29.9,114590,32,,2018-04-10
99-0410,"Norm Scully",Detective,5,S05E11,ARSON,QUEENS,ONGOING,14,6,38.6,115684,44,"Halloween Heist Champion",2016-04-30
99-0411,"Amy Santiago",Detective,2,S02E02,BURGLARY,"STATEN  ISLAND","UNDER INVESTIGATION",12,21,52.5,73972,57,,2020-08-24
99-0412,"Michael Hitchcock",Detective,5,S05E21,"GRAND LARCENY",BROOKLYN,OPEN,49,44,32.9,NULL,68,,2018-01-19
99-0413,"Gina Linetti",Administrator,7,S07E04,STALKING,QUEENS,DISMISSED,5,73,59,NULL,66,Bingpot!,2015-08-02
99-0414,"Gina Linetti",Administrator,5,S05E16,FRAUD,MANHATTAN,DISMISSED,32,60,70.2,NULL,45,,NULL
99-0417,NULL,Detective,1,S01E09,ASSAULT,BROOKLYN,OPEN,1,3,26.9,117063,27,"I want to go to there",2016-07-16
99-0418,"Gina Linetti",Administrator,7,S07E20,VANDALISM,MANHATTAN,"UNDER INVESTIGATION",1,19,50.4,57584,50,Nine-Nine!,2014-11-03
99-0419,"Jake Peralta",Detective,7,S07E20,ARSON,BRONX,DISMISSED,1,96,76.8,57154,75,"I want to go to there",2021-01-08
99-0420,NULL,Detective,2,S02E08,ROBBERY,QUEENS,ONGOING,24,37,73.8,NULL,40,,2013-04-04
99-0421,"Jake Peralta",Detective,4,S04E09,MURDER,BRONX,"UNDER INVESTIGATION",1,17,27.9,115670,58,,2016-03-05
99-0424,"Terry Jeffords",Sergeant,4,S04E21,ASSAULT,BRONX,"COLD CASE",43,8,69.9,NULL,51,,2016-07-10
99-0425,"Rosa Diaz",Detective,1,S01E11,VANDALISM,BROOKLYN,DISMISSED,25,29,76.4,87424,50,,2019-09-24
99-0426,"Norm Scully",Detective,7,S07E06,ASSAULT,BRONX,CLOSED,31,12,69.6,74059,47,,2019-12-07
99-0427,"Terry Jeffords",Sergeant,2,S02E18,MURDER,"STATEN  ISLAND",OPEN,35,37,58.5,59645,31,,2014-05-05
99-0428,"Raymond Holt",Captain,8,S08E05,BURGLARY,QUEENS,CLOSED,23,75,66.7,75272,40,"Halloween Heist Champion",2020-01-24
99-0429,"Raymond Holt",Captain,4,S04E09,FRAUD,BRONX,DISMISSED,9,94,73.2,101389,46,,2020-11-03
99-0430,"Norm Scully",Detective,7,S07E06,ARSON,QUEENS,"COLD CASE",41,39,39.4,NULL,21,,2014-11-28
99-0431,"Michael Hitchcock",Detective,8,S08E15,FRAUD,BROOKLYN,"COLD CASE",49,97,29.5,87344,48,,2018-12-10
99-0432,"Michael Hitchcock",Administrator,1,S01E08,FRAUD,QUEENS,"IN PROGRESS",29,1,37.6,93139,59,,2016-05-28
99-0433,"Charles Boyle",Detective,5,S05E15,BURGLARY,BRONX,DISMISSED,28,41,73.7,NULL,67,"Halloween Heist Champion",2020-08-01
99-0436,"Rosa Diaz",Detective,8,S08E18,STALKING,BROOKLYN,DISMISSED,32,33,44.2,105930,29,,2015-07-26
99-0438,"Norm Scully",Detective,1,S01E01,VANDALISM,QUEENS,DISMISSED,48,33,78.4,82986,58,,2020-01-05
99-0441,"Rosa Diaz",Detective,4,S04E12,FRAUD,QUEENS,"COLD CASE",50,32,33.1,77932,24,"Title of your sex tape",NULL
99-0444,"Amy Santiago",Detective,5,S05E15,FRAUD,QUEENS,ONGOING,4,39,37.3,99494,39,"Get that bread",2013-05-02
99-0445,"Raymond Holt",Captain,6,S06E21,ARSON,BRONX,"COLD CASE",35,59,61.1,108900,73,"Halloween Heist Champion",2014-05-25
99-0446,"Raymond Holt",Captain,4,S04E12,ARSON,MANHATTAN,CLOSED,16,43,64.6,0,23,,2014-06-21
99-0447,"Raymond Holt",Captain,7,S07E08,ARSON,QUEENS,"UNDER INVESTIGATION",19,80,78.1,NULL,31,"I want to go to there",2016-03-01
99-0448,"Charles Boyle",Detective,4,S04E08,ARSON,BRONX,DISMISSED,5,55,45.4,103544,32,,2021-09-21
99-0449,NULL,Detective,2,S02E09,VANDALISM,"STATEN  ISLAND","IN PROGRESS",27,76,58.7,107238,63,,2017-11-26
99-0452,"Raymond Holt",Captain,1,S01E18,ASSAULT,BRONX,CLOSED,50,37,73.9,90091,48,"The squad has arrived",2015-08-09
99-0454,"Michael Hitchcock",Sergeant,4,S04E05,FRAUD,BROOKLYN,"UNDER INVESTIGATION",36,79,68,62284,75,"I am a human person",2014-07-08
99-0455,"Amy Santiago",Detective,5,S05E06,BURGLARY,BRONX,DISMISSED,41,33,74.8,104785,27,"I am a human person",2017-08-21
99-0457,"Michael Hitchcock",Detective,6,S06E07,ARSON,BROOKLYN,DISMISSED,22,29,51.6,77903,70,,2013-03-19
99-0459,"Raymond Holt",Captain,7,S07E05,ROBBERY,MANHATTAN,OPEN,49,92,72.1,112001,34,,2017-08-02
99-0460,"Rosa Diaz",Detective,8,S08E17,VANDALISME,BRONX,CLOSED,38,0,42.2,0,29,"I want to go to there",2018-01-15
99-0461,"Raymond Holt",Captain,2,S02E13,ROBBERY,QUEENS,"COLD CASE",11,86,75,79263,57,,2017-01-16
99-0462,"Raymond Holt",Captain,7,S07E05,MURDER,BRONX,OPEN,17,29,21,88643,63,,2014-10-23
99-0463,"Gina Linetti",Administrator,3,S03E06,MURDER,QUEENS,"COLD CASE",17,84,48,66475,19,,2014-07-21
99-0464,"Gina Linetti",Administrator,7,S07E06,ARSON,MANHATTAN,"UNDER INVESTIGATION",10,67,55.8,93151,56,"I want to go to there",2014-05-01
99-0465,"Rosa Diaz",Detective,5,S05E23,MURDER,QUEENS,OPEN,38,80,41.3,82700,72,,2014-04-19
99-0467,"Amy Santiago",Detective,3,S03E22,BURGLARY,"STATEN  ISLAND",OPEN,50,57,77.4,NULL,59,,2015-01-14
99-0468,"Charles Boyle",Detective,7,S07E05,BURGLARY,QUEENS,"IN PROGRESS",29,11,36.6,NULL,54,,2013-07-15
99-0469,"Raymond Holt",Captain,8,S08E21,VANDALISM,"STATEN  ISLAND",DISMISSED,18,0,52.7,85379,66,,2017-07-05
99-0470,"Michael Hitchcock",Detective,2,S02E22,ARSON,BROOKLYN,OPEN,13,88,38.3,67645,27,,2016-03-10
99-0473,"Amy Santiago",Detective,6,S06E12,BURGLARY,MANHATTAN,CLOSED,40,57,71.5,73542,32,"Cool cool cool cool cool",NULL
99-0474,"Raymond Holt",Captain,5,S05E05,VANDALISME,BROOKLYN,"UNDER INVESTIGATION",10,19,35.8,NULL,40,,2019-12-30
99-0475,"Amy Santiago",Detective,8,S08E15,STALKING,BROOKLYN,DISMISSED,12,14,62.7,116160,36,,2013-06-24
99-0476,"Terry Jeffords",Sergeant,2,S02E23,VANDALISM,MANHATTAN,CLOSED,0,0,76.6,95327,27,,2016-07-08
99-0479,"Gina Linetti",Administrator,3,S03E08,"DRUG POSSESSION",BRONX,CLOSED,22,25,40.7,83433,46,,NULL
99-0480,"Norm Scully",Detective,1,S01E01,ASSAULT,MANHATTAN,OPEN,50,74,56.7,101604,55,,2017-04-28
99-0481,"Raymond Holt",Captain,5,S05E16,"GRAND LARCENY",MANHATTAN,OPEN,17,96,56.2,NULL,38,Bingpot!,2016-07-02
99-0482,"Gina Linetti",Administrator,1,S01E02,STALKING,QUEENS,"UNDER INVESTIGATION",42,72,56.1,107849,32,,2015-07-22
99-0483,NULL,Detective,4,S04E17,ROBBERY,BROOKLYN,CLOSED,47,23,76,NULL,26,"Get that bread",2015-05-29
99-0484,"Gina Linetti",Administrator,2,S02E19,"GRAND LARCENY","STATEN  ISLAND",OPEN,41,11,46.1,NULL,46,,2014-02-19
99-0486,NULL,Detective,1,S01E04,"GRAND LARCENY",BRONX,DISMISSED,40,32,58.2,74635,59,Noice,2017-03-18
99-0487,"Jake Peralta",Detective,1,S01E02,"DRUG  POSSESSION",MANHATTAN,CLOSED,4,92,32.3,NULL,71,"Halloween Heist Champion",2021-01-13
99-0488,"Raymond Holt",Captain,6,S06E11,FRAUD,"STATEN  ISLAND","COLD CASE",50,47,52.5,NULL,65,"Cool cool cool cool cool",2020-11-06
99-0489,"Charles Boyle",Detective,2,S02E06,"DRUG  POSSESSION",MANHATTAN,"COLD CASE",42,76,20.2,55035,70,,2018-04-25
99-0490,"Raymond Holt",Captain,2,S02E09,STALKING,BROOKLYN,OPEN,2,80,59.2,95087,16,,2013-06-12
99-0492,"Gina Linetti",Administrator,8,S08E18,FRAUD,BRONX,OPEN,10,98,78.2,97574,52,,2020-08-26
99-0494,NULL,NULL,3,S03E03,STALKING,MANHATTAN,CLOSED,2,61,27.3,0,56,,2020-07-12
99-0495,"Jake Peralta",Detective,3,S03E19,MURDER,BRONX,OPEN,36,70,25.9,64144,30,"The squad has arrived",2018-11-11
99-0496,"Gina Linetti",Administrator,2,S02E08,ASSAULT,"STATEN  ISLAND",DISMISSED,12,97,60.1,NULL,62,,2014-07-13
99-0497,"Terry Jeffords",Sergeant,2,S02E08,BURGLARY,QUEENS,"COLD CASE",3,37,53.3,NULL,37,Noice,2020-06-19
99-0498,"Norm Scully",Detective,3,S03E02,ROBBERY,QUEENS,"COLD CASE",29,33,32.3,59083,16,,2020-03-29
99-0500,"Amy Santiago",Detective,1,S01E11,VANDALISM,MANHATTAN,"COLD CASE",28,33,59.6,101505,31,,2018-02-01
99-0504,NULL,Detective,7,S07E17,"DRUG POSSESSION",BRONX,DISMISSED,13,7,62.7,85257,60,"Cool cool cool cool cool",2019-01-09
99-0505,"Amy Santiago",Detective,8,S08E23,ARSON,QUEENS,"UNDER INVESTIGATION",32,40,45.6,82250,55,"The squad has arrived",2020-06-04
99-0506,"Jake Peralta",Detective,8,S08E04,FRAUD,QUEENS,OPEN,0,4,36.6,97846,39,"Halloween Heist Champion",2016-12-13
99-0507,"Jake Peralta",Detective,5,S05E18,VANDALISM,QUEENS,OPEN,44,42,54.6,91184,64,"Cool cool cool cool cool",2016-06-14
99-0510,"Charles Boyle",Detective,1,S01E22,"GRAND LARCENY",MANHATTAN,OPEN,37,86,31.2,97427,33,,2021-03-15
99-0511,"Rosa Diaz",Detective,1,S01E12,ARSON,BRONX,CLOSED,38,50,51.6,100617,35,,2015-12-13
99-0513,"Terry Jeffords",Sergeant,7,S07E10,MURDER,"STATEN  ISLAND",DISMISSED,30,25,43.4,93377,36,"Cool cool cool cool cool",2016-05-20
99-0514,NULL,Detective,3,S03E17,BURGLERY,MANHATTAN,DISMISSED,36,5,77.7,NULL,65,,2015-06-10
99-0515,"Michael Hitchcock",Captain,2,S02E16,ASSAULT,BRONX,"IN PROGRESS",23,18,26.3,95627,73,Nine-Nine!,2019-12-14
99-0516,NULL,Detective,7,S07E13,ARSON,"STATEN  ISLAND",OPEN,17,69,75.3,98943,47,,2017-10-22
99-0517,"Michael Hitchcock",Sergeant,5,S05E01,BURGLARY,"STATEN  ISLAND","UNDER INVESTIGATION",47,67,49.7,84143,44,,2016-12-29
99-0518,NULL,Detective,7,S07E11,VANDALISM,QUEENS,DISMISSED,16,29,49.9,63362,49,,2020-10-13
99-0520,"Norm Scully",Detective,6,S06E08,ARSON,"STATEN  ISLAND","UNDER INVESTIGATION",10,95,66.3,NULL,70,Bingpot!,2013-12-24
99-0521,"Norm Scully",Detective,3,S03E11,ROBBERY,"STATEN  ISLAND",CLOSED,0,22,35.9,NULL,16,"I am a human person",2021-12-14
99-0522,"Michael Hitchcock",Detective,1,S01E16,MURDER,QUEENS,"IN PROGRESS",22,5,47.9,73390,15,"Halloween Heist Champion",2020-01-17
99-0523,"Amy Santiago",Detective,5,S05E21,MURDER,BROOKLYN,"COLD CASE",25,60,52.1,70121,37,"I want to go to there",NULL
99-0524,"Michael Hitchcock",Administrator,6,S06E11,BURGLARY,BRONX,OPEN,20,82,36.5,94409,47,Noice,2017-07-30
99-0525,NULL,Detective,4,S04E22,BURGLARY,QUEENS,DISMISSED,23,55,75.2,74002,46,Bingpot!,2016-01-09
99-0527,NULL,Detective,5,S05E04,MURDER,"STATEN  ISLAND",CLOSED,26,48,67.3,92462,16,,2015-04-13
99-0528,"Gina Linetti",Administrator,1,S01E19,STALKING,BROOKLYN,OPEN,39,6,67.2,55232,15,,2013-06-22
99-0529,"Amy Santiago",Detective,3,S03E10,VANDALISME,BRONX,"IN PROGRESS",48,23,26.7,107759,60,Nine-Nine!,2017-02-06
99-0530,"Charles Boyle",Detective,6,S06E20,ROBBERY,MANHATTAN,CLOSED,26,73,53.4,112022,38,"The squad has arrived",2020-01-04
99-0531,"Amy Santiago",Detective,1,S01E09,ASSAULT,BROOKLYN,DISMISSED,48,65,62.9,NULL,67,,2014-12-23
99-0532,"Norm Scully",Detective,3,S03E03,STALKING,BROOKLYN,"UNDER INVESTIGATION",46,44,45.5,83883,64,"I am a human person",2021-06-09
99-0533,"Amy Santiago",Detective,5,S05E15,"DRUG POSSESSION","STATEN  ISLAND",OPEN,3,36,50.3,61253,58,,2018-01-18
99-0535,"Terry Jeffords",Sergeant,2,S02E06,FRAUD,QUEENS,"COLD CASE",21,95,27.7,65781,74,"Title of your sex tape",2018-06-10
99-0536,"Terry Jeffords",Sergeant,8,S08E07,FRAUD,"STATEN  ISLAND","COLD CASE",32,89,62.1,108850,41,,2013-08-09
99-0537,"Raymond Holt",Captain,1,S01E19,VANDALISM,BRONX,CLOSED,26,98,68.6,110131,54,,2019-01-27
99-0538,"Jake Peralta",Detective,3,S03E20,VANDALISME,MANHATTAN,DISMISSED,35,55,43,NULL,61,"I want to go to there",NULL
99-0540,"Amy Santiago",Detective,7,S07E08,"DRUG POSSESSION",BROOKLYN,CLOSED,39,9,60.2,NULL,20,,2014-04-05
99-0542,"Charles Boyle",Detective,8,S08E11,FRAUD,QUEENS,OPEN,35,76,20.6,65611,22,,2013-02-11
99-0543,"Raymond Holt",Captain,1,S01E17,VANDALISM,QUEENS,CLOSED,18,63,29.3,NULL,58,"The squad has arrived",2021-04-09
99-0545,"Rosa Diaz",Detective,2,S02E07,"GRAND LARCENY",BRONX,OPEN,38,54,58.8,73940,36,,2020-02-11
99-0546,"Gina Linetti",Administrator,4,S04E19,ROBBERY,MANHATTAN,CLOSED,3,50,72,117940,40,,2017-01-17
99-0547,"Rosa Diaz",Detective,4,S04E02,"GRAND LARCENY",QUEENS,OPEN,2,65,37.2,61635,75,"The squad has arrived",NULL
99-0548,"Jake Peralta",Detective,7,S07E13,VANDALISME,MANHATTAN,CLOSED,44,43,20.9,81511,15,,2015-06-14
99-0549,"Rosa Diaz",Detective,3,S03E10,"DRUG POSSESSION",MANHATTAN,"UNDER INVESTIGATION",18,86,53.3,74345,35,,NULL
99-0550,"Michael Hitchcock",Administrator,6,S06E05,ROBERRY,QUEENS,CLOSED,47,4,27.4,0,65,"Halloween Heist Champion",2015-12-31
99-0551,NULL,Detective,4,S04E23,ASSAULT,BRONX,DISMISSED,24,14,75.4,NULL,32,,2021-10-23
99-0553,"Gina Linetti",Administrator,5,S05E05,"DRUG POSSESSION",QUEENS,DISMISSED,34,58,74.5,102190,55,Bingpot!,2016-05-04
